"driver_id","name","total_trips","cancelled_trips","cancellation_rate"
32,"Natalie Davila",192,69,35.94
49,"Kevin Vincent",204,61,29.9
23,"Natasha Ross",223,66,29.6
48,"Felicia Espinoza",189,72,38.1
47,"Rodney Gaines",186,65,34.95
41,"Caroline Barajas",187,52,27.81
7,"Brianna Rivera",213,69,32.39
30,"Susan Wheeler DDS",216,63,29.17
20,"Brandon Parks",187,64,34.22
43,"Melissa Wiley",191,76,39.79
13,"Lynn Wilson MD",165,57,34.55
11,"Adam White",200,65,32.5
14,"Michael Gates",184,61,33.15
31,"Brian Wilson",206,76,36.89
45,"Christina Hall",190,64,33.68
37,"Mason Allen",176,52,29.55
3,"Ryan Johnson",203,48,23.65
15,"Jon Small",181,57,31.49
16,"Robin Thompson",208,64,30.77
33,"Kaitlin Hayden",217,78,35.94
24,"Justin Johnson",194,57,29.38
19,"Douglas Robinson",222,67,30.18
12,"Jonathan Rivera DDS",176,64,36.36
18,"Joanna Smith",195,58,29.74
1,"Scott Rogers",213,55,25.82
22,"Hailey Alvarez",196,69,35.2
21,"Angela Perez",202,79,39.11
8,"Sierra Melendez",225,72,32.0
2,"James Hamilton",196,72,36.73
5,"Kristina Alexander",230,73,31.74
27,"Shane Bradley",226,83,36.73
29,"Joseph Warren",204,76,37.25
38,"Timothy Crawford",204,68,33.33
9,"Alyssa Krueger MD",224,66,29.46
39,"Lance Ross",190,70,36.84
42,"David Reed",195,62,31.79
25,"Megan Pineda",210,58,27.62
26,"Timothy Carrillo",203,76,37.44
34,"Adam Bernard",194,71,36.6
4,"Nathan Petty",188,62,32.98
17,"Michelle Carroll",201,70,34.83
10,"Karen Gordon",204,80,39.22
44,"Paul Munoz",191,64,33.51
6,"Katrina Nichols",191,56,29.32
36,"Kenneth Anderson",196,79,40.31
40,"Devin Mitchell",195,75,38.46
35,"Alan Willis",195,60,30.77
50,"Julian Hernandez",205,66,32.2
46,"Samantha Hughes",210,67,31.9
28,"Leslie Simon",207,74,35.75
